Year,Date,Day,Pet,Dies,HSP
2015,6-3,Wed,4507,5438,316
2015,6-4,Thu,3328,7335,210
2015,6-5,Fri,4188,5482,299
2015,6-6,Sat,4635,10123,311
2015,6-7,Sun,4433,6140,356
2015,6-8,Mon,3665,6187,347
2015,6-9,Tue,3551,5804,399
2015,6-10,Wed,4227,7262,250
2015,6-11,Thu,5306,8659,209
2015,6-12,Fri,3817,6133,245
2015,6-13,Sat,3508,7088,210
2015,6-14,Sun,3492,5516,255
2015,6-15,Mon,4357,2502,681
2015,6-16,Tue,3611,8916,742
2015,6-17,Wed,4305,7603,568
2015,6-18,Thu,3637,7830,421
2015,6-19,Fri,3422,7883,452
2015,6-20,Sat,4590,8765,489
2015,6-21,Sun,4364,6481,426
2015,6-22,Mon,4659,9714,413
2015,6-23,Tue,4564,6536,512
2015,6-24,Wed,5178,4690,265
2015,6-25,Thu,3985,6547,296
2015,6-26,Fri,3808,6337,335
2015,6-27,Sat,3195,6376,396
2015,6-28,Sun,3507,6106,310
2015,6-29,Mon,3482,6298,458
2015,6-30,Tue,4387,6320,465
2015,7-1,Wed,3320,6563,546
2015,7-2,Thu,3754,4152,235
2015,7-3,Fri,3208,6358,296
2015,7-4,Sat,3221,4511,278
2015,7-5,Sun,4267,6017,354
2015,7-6,Mon,5107,5881,229
2015,7-7,Tue,5344,3676,129
2015,7-8,Wed,4375,5886,362
2015,7-9,Thu,4023,4263,342
2015,7-10,Fri,3218,3703,366
2015,7-11,Sat,2886,3105,298
2015,7-12,Sun,3782,3321,235
2015,7-13,Mon,3912,4192,306
2015,7-14,Tue,3354,4583,353
2015,7-15,Wed,4145,4779,255
2015,7-16,Thu,2653,2607,269
2015,7-17,Fri,3222,4140,610
2015,7-18,Sat,2790,3707,519
2015,7-19,Sun,2907,2609,390
2015,7-20,Mon,2691,4362,435
2015,7-21,Tue,3292,3103,417
2015,7-22,Wed,3155,4387,502
2015,7-23,Thu,3009,4324,249
2015,7-24,Fri,2485,3072,353
2015,7-25,Sat,2412,4891,419
